chirp_mass mass_ratio distance phi ra dec
87.12416 0.21806994 1940.2471 6.1545444 6.1545444 -0.8123331
87.20384 0.15317765 2161.667 3.7151089 3.7151089 0.88000166
88.8102 0.12793455 2345.0044 4.000265 4.000265 0.9370022
97.64084 0.42854437 2172.1663 3.5432339 3.5432339 0.68439823
86.14001 0.20247343 1058.4353 3.9768276 3.9768276 0.93436664
84.17439 0.33576995 1204.2584 0.06667137 0.06667137 -1.0929341
94.72202 0.34198046 1853.357 0.15651512 0.15651512 -1.2148938
99.11911 0.2862834 1841.769 1.2072964 1.2072964 -1.1314178
76.58742 0.15482712 1673.2194 3.7190151 3.7190151 0.9458061
53.794636 0.14030075 1040.2595 3.8322964 3.8322964 0.9515249
92.67531 0.27472368 2044.6365 5.931888 5.931888 -0.6396687
72.96988 0.25244206 1824.5719 3.8283901 3.8283901 0.94745034
78.119675 0.21860236 2027.3025 6.0178256 6.0178256 -0.69967276
79.142456 0.35555375 1304.7253 1.2229214 1.2229214 -1.1237679
84.30656 0.14285913 3026.0383 3.5744839 3.5744839 0.63406044
94.296165 0.6016979 1682.7256 5.681888 5.681888 -0.36322704
91.846146 0.19077784 1492.9368 4.156515 4.156515 0.87422097
65.555565 0.27942213 1265.5642 3.8440151 3.8440151 1.0455635
99.7982 0.33941984 2415.6555 6.2639194 6.2639194 -0.8821239
96.30775 0.1781652 1894.183 4.26589 4.26589 0.8156127
99.29025 0.53471196 2497.5894 6.131107 6.131107 -0.56147057
86.14333 0.30815855 1665.2122 4.402609 4.402609 0.71809137
91.27892 0.39003044 2096.5063 3.5354214 3.5354214 0.68410784
91.23422 0.27674022 1919.5131 3.3244839 3.3244839 0.6787926
92.079185 0.17619795 2197.1228 6.1076694 6.1076694 -0.9237069
90.2674 0.2586926 1566.5927 3.9065151 3.9065151 0.9433993
99.18129 0.2754766 2769.5154 0.008077621 0.008077621 -0.96538323
86.26019 0.25521976 2485.7864 3.8479214 3.8479214 0.9332484
80.45356 0.17149714 1629.8827 4.3635464 4.3635464 0.7523457
96.431335 0.21793261 1891.8318 6.150638 6.150638 -0.85389817
93.80921 0.18435782 1895.2544 3.8557339 3.8557339 1.0020368
78.60578 0.2078591 2448.5142 6.0451694 6.0451694 -0.7385773
76.94229 0.27247876 2076.6155 3.4377651 3.4377651 0.73651093
70.806984 0.24176499 1611.0984 0.10573387 0.10573387 -1.0706165
94.63486 0.1747584 2475.07 3.4065151 3.4065151 0.49509892
89.18208 0.4379953 1609.8704 4.3479214 4.3479214 0.7050414
53.309647 0.15990004 1099.3147 3.9377651 3.9377651 0.9767324
